"filename", "language", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "HTML", "JavaScript", "Groovy", "Java", "XML", "Batch", "Properties", "comment", "blank", "total"
"c:\strava-like\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 2, 6, 55
"c:\strava-like\android\app\capacitor.build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 7, 20
"c:\strava-like\android\app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 6, 27
"c:\strava-like\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 8, 42
"c:\strava-like\android\app\src\main\java\com\example\app\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\strava-like\android\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 35
"c:\strava-like\android\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 1, 171
"c:\strava-like\android\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\strava-like\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\strava-like\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\strava-like\android\app\src\main\res\values\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\strava-like\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\strava-like\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 4, 22
"c:\strava-like\android\app\src\main\res\xml\file_paths.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\strava-like\android\app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 5, 5, 19
"c:\strava-like\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 7, 30
"c:\strava-like\android\capacitor.settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 4
"c:\strava-like\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 6, 23
"c:\strava-like\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\strava-like\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 32, 22, 95
"c:\strava-like\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\strava-like\android\variables.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"c:\strava-like\api\strava-oauth.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 116
"c:\strava-like\capacitor.config.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\strava-like\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\strava-like\firebase.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\strava-like\firestore.indexes.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43
"c:\strava-like\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\strava-like\package-lock.json", "JSON", 7220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7221
"c:\strava-like\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\strava-like\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\strava-like\src\App.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\strava-like\src\api\banisterSimulation.ts", "TypeScript", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 19, 200
"c:\strava-like\src\components\BanisterViewer.tsx", "TypeScript JSX", 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 14, 19, 251
"c:\strava-like\src\components\FictitiousSessionForm.tsx", "TypeScript JSX", 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 30, 49, 381
"c:\strava-like\src\components\FileImportDialog.tsx", "TypeScript JSX", 0, 0, 0, 303, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26, 334
"c:\strava-like\src\components\HeatmapViewer.tsx", "TypeScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 117
"c:\strava-like\src\components\SimulationInput.tsx", "TypeScript JSX", 0, 0, 0, 568, 0, 0, 0, 0, 0, 0, 0, 0, 23, 34, 625
"c:\strava-like\src\components\SimulationVisualizer.tsx", "TypeScript JSX", 0, 0, 0, 402, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34, 448
"c:\strava-like\src\contexts\UserContext.tsx", "TypeScript JSX", 0, 0, 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 25, 29, 335
"c:\strava-like\src\firebase.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"c:\strava-like\src\hooks\useActivityDetails.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 65
"c:\strava-like\src\hooks\useAuth.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\strava-like\src\hooks\useBanisterModel.ts", "TypeScript", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 18, 152
"c:\strava-like\src\hooks\useFictitioussSessionTrainingLoad.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 17, 166
"c:\strava-like\src\hooks\useSimulateBanisterImpact.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 3, 59
"c:\strava-like\src\main.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\strava-like\src\mappers\StravaMappers.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 76
"c:\strava-like\src\pages\ActivitiesPage.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 107
"c:\strava-like\src\pages\ActivityPage.tsx", "TypeScript JSX", 0, 0, 0, 334, 0, 0, 0, 0, 0, 0, 0, 0, 11, 58, 403
"c:\strava-like\src\pages\BanisterPage.tsx", "TypeScript JSX", 0, 0, 0, 732, 0, 0, 0, 0, 0, 0, 0, 0, 22, 44, 798
"c:\strava-like\src\pages\ChartsPage.tsx", "TypeScript JSX", 0, 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 28, 38, 416
"c:\strava-like\src\pages\ComparisonsStatsPage.tsx", "TypeScript JSX", 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25, 223
"c:\strava-like\src\pages\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 263
"c:\strava-like\src\pages\HeatmapPage.tsx", "TypeScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 104
"c:\strava-like\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"c:\strava-like\src\pages\MainPage.tsx", "TypeScript JSX", 0, 0, 0, 599, 0, 0, 0, 0, 0, 0, 0, 0, 25, 51, 675
"c:\strava-like\src\pages\ProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 232
"c:\strava-like\src\pages\strava-callback.tsx", "TypeScript JSX", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26, 157
